State,County,Name,Year,Total,Native,Foreign-born,Percent Foreign-born
Georgia,Carroll County,"Carroll County, Georgia",2023,127098.0,119043.0,8055.0,6.337629230987113
Georgia,Catoosa County,"Catoosa County, Georgia",2023,68910.0,67392.0,1518.0,2.202873313016979
Georgia,Chatham County,"Chatham County, Georgia",2023,303655.0,274746.0,28909.0,9.520343811233142
Georgia,Cherokee County,"Cherokee County, Georgia",2023,286602.0,258507.0,28095.0,9.80279272300961
Georgia,Clarke County,"Clarke County, Georgia",2023,129933.0,117821.0,12112.0,9.321727351788999
Georgia,Clayton County,"Clayton County, Georgia",2023,298300.0,253430.0,44870.0,15.04190412336574
Georgia,Cobb County,"Cobb County, Georgia",2023,776743.0,649784.0,126959.0,16.345045916088075
Georgia,Columbia County,"Columbia County, Georgia",2023,165162.0,154023.0,11139.0,6.744287426889962
Georgia,Coweta County,"Coweta County, Georgia",2023,155892.0,147496.0,8396.0,5.38577989890437
Georgia,DeKalb County,"DeKalb County, Georgia",2023,762992.0,623222.0,139770.0,18.318671755405035
Georgia,Dougherty County,"Dougherty County, Georgia",2023,82645.0,80384.0,2261.0,2.7357976889103996
Georgia,Douglas County,"Douglas County, Georgia",2023,149160.0,136112.0,13048.0,8.747653526414588
Georgia,Effingham County,"Effingham County, Georgia",2023,71541.0,68605.0,2936.0,4.103940397813841
Georgia,Fayette County,"Fayette County, Georgia",2023,123351.0,108425.0,14926.0,12.100428857487982
Georgia,Floyd County,"Floyd County, Georgia",2023,100113.0,94335.0,5778.0,5.771478229600551
Georgia,Forsyth County,"Forsyth County, Georgia",2023,272887.0,204212.0,68675.0,25.166094390718502
Georgia,Fulton County,"Fulton County, Georgia",2023,1079105.0,926057.0,153048.0,14.182864503454251
Georgia,Glynn County,"Glynn County, Georgia",2023,86172.0,80875.0,5297.0,6.147008308963469
Georgia,Gwinnett County,"Gwinnett County, Georgia",2023,983526.0,692191.0,291335.0,29.6214843329002
Georgia,Hall County,"Hall County, Georgia",2023,217267.0,181527.0,35740.0,16.449805999070268
