Name,Year,Total,Native,Foreign-born,Percent Foreign-born
New Mexico,2006,1954599.0,1757348.0,197251.0,10.09163516404132
New York,2006,19306183.0,15127221.0,4178962.0,21.645718369084143
North Carolina,2006,8856505.0,8242307.0,614198.0,6.934992979736363
North Dakota,2006,635867.0,622489.0,13378.0,2.1038990858151156
Ohio,2006,11478006.0,11065654.0,412352.0,3.5925403767866992
Oklahoma,2006,3579212.0,3403225.0,175987.0,4.916920260660727
Oregon,2006,3700758.0,3340891.0,359867.0,9.724142999893536
Pennsylvania,2006,12440621.0,11804054.0,636567.0,5.116842639929309
Rhode Island,2006,1067610.0,933220.0,134390.0,12.587930049362594
South Carolina,2006,4321249.0,4145231.0,176018.0,4.073313062959343
South Dakota,2006,781919.0,765067.0,16852.0,2.1552104501872957
Tennessee,2006,6038803.0,5802287.0,236516.0,3.9166040024819484
Texas,2006,23507783.0,19767116.0,3740667.0,15.912461842956438
Utah,2006,2550063.0,2339563.0,210500.0,8.254698021186144
Vermont,2006,623908.0,599726.0,24182.0,3.875891958429768
Virginia,2006,7642884.0,6869099.0,773785.0,10.124254142807871
Washington,2006,6395798.0,5602009.0,793789.0,12.411101789018353
West Virginia,2006,1818470.0,1796522.0,21948.0,1.206948698631267
Wisconsin,2006,5556506.0,5311500.0,245006.0,4.409353647777938
Wyoming,2006,515004.0,501075.0,13929.0,2.704639187268448
Alabama,2007,4627851.0,4490576.0,137275.0,2.9662795971607556
Alaska,2007,683478.0,634550.0,48928.0,7.158679577104164
Arizona,2007,6338755.0,5347171.0,991584.0,15.643198072807674
Arkansas,2007,2834797.0,2716392.0,118405.0,4.176842292411061
California,2007,36553215.0,26528863.0,10024352.0,27.423995399583866
Colorado,2007,4861515.0,4376345.0,485170.0,9.97981082028956
Connecticut,2007,3502309.0,3052648.0,449661.0,12.838987079666586
Delaware,2007,864764.0,798943.0,65821.0,7.611440809284383
District of Columbia,2007,588292.0,513883.0,74409.0,12.648310702848246
Florida,2007,18251243.0,14810325.0,3440918.0,18.853061131233638
Georgia,2007,9544750.0,8676337.0,868413.0,9.098331543518688
Indiana,2007,6345289.0,6081441.0,263848.0,4.158171519059258
Hawaii,2007,1283388.0,1061940.0,221448.0,17.254953295495984
Idaho,2007,1499402.0,1415498.0,83904.0,5.595830871240668
Illinois,2007,12852548.0,11084030.0,1768518.0,13.760057538785306
Iowa,2007,2988047.0,2870610.0,117437.0,3.930225997114503
Kansas,2007,2775997.0,2608912.0,167085.0,6.018918608341436
Kentucky,2007,4241474.0,4133641.0,107833.0,2.5423473066202926
Louisiana,2007,4293204.0,4149937.0,143267.0,3.337064812200864
Maine,2007,1317207.0,1272743.0,44464.0,3.3756273691226966
Maryland,2007,5618344.0,4923754.0,694590.0,12.3628955435979
Massachusetts,2007,6449755.0,5535798.0,913957.0,14.170414225036454
Michigan,2007,10071822.0,9462365.0,609457.0,6.051109719770663
Minnesota,2007,5197621.0,4852620.0,345001.0,6.637671350027253
Mississippi,2007,2918785.0,2869302.0,49483.0,1.6953287069791025
Missouri,2007,5878415.0,5670294.0,208121.0,3.540427138948169
Montana,2007,957861.0,941804.0,16057.0,1.6763392600805334
Nebraska,2007,1774571.0,1676059.0,98512.0,5.551313528734551
Nevada,2007,2565382.0,2067561.0,497821.0,19.405336125380156
New Hampshire,2007,1315828.0,1248093.0,67735.0,5.147709275072425
New Jersey,2007,8685920.0,6954718.0,1731202.0,19.931129920607145
New Mexico,2007,1969915.0,1786979.0,182936.0,9.286492056763871
New York,2007,19297729.0,15091916.0,4205813.0,21.794341707254773
North Carolina,2007,9061032.0,8431085.0,629947.0,6.9522654814595075
North Dakota,2007,639715.0,624129.0,15586.0,2.436397458243124
Ohio,2007,11466917.0,11047474.0,419443.0,3.6578532834937234
Oklahoma,2007,3617316.0,3435130.0,182186.0,5.036496673224015
Oregon,2007,3747455.0,3379904.0,367551.0,9.808016373779004
Pennsylvania,2007,12432792.0,11767616.0,665176.0,5.350173959316621
Rhode Island,2007,1057832.0,923009.0,134823.0,12.745218522411877
South Carolina,2007,4407709.0,4217695.0,190014.0,4.310947024860307
South Dakota,2007,796215.0,781685.0,14530.0,1.824883982341453
Tennessee,2007,6156719.0,5907167.0,249552.0,4.05332775460436
Texas,2007,23904380.0,20075476.0,3828904.0,16.017583388483615
Utah,2007,2645330.0,2429573.0,215757.0,8.156146870144745
Vermont,2007,621254.0,599844.0,21410.0,3.446255476825904
Virginia,2007,7712091.0,6917845.0,794246.0,10.298711464893245
Washington,2007,6468424.0,5673245.0,795179.0,12.293241754096515
West Virginia,2007,1812035.0,1788580.0,23455.0,1.2944010463374052
Wisconsin,2007,5601640.0,5349490.0,252150.0,4.501360315907484
Wyoming,2007,522830.0,506470.0,16360.0,3.1291241895071056
Alabama,2008,4661900.0,4530205.0,131695.0,2.824921169480255
Alaska,2008,686293.0,641997.0,44296.0,6.454386100397352
Arizona,2008,6500180.0,5567662.0,932518.0,14.346033494457078
Arkansas,2008,2855390.0,2746133.0,109257.0,3.8263424610998844
California,2008,36756666.0,26897639.0,9859027.0,26.822419095355382
Colorado,2008,4939456.0,4440277.0,499179.0,10.105950938726856
Connecticut,2008,3501252.0,3047250.0,454002.0,12.966847287770204
Delaware,2008,873092.0,806299.0,66793.0,7.650167450852831
District of Columbia,2008,591833.0,513949.0,77884.0,13.159793387661722
Florida,2008,18328340.0,14936829.0,3391511.0,18.50419077777911
Georgia,2008,9685744.0,8775271.0,910473.0,9.40013487864226
Hawaii,2008,1288198.0,1058850.0,229348.0,17.803784821898496
Idaho,2008,1523816.0,1434327.0,89489.0,5.87269066606467
Kansas,2008,2802134.0,2638016.0,164118.0,5.856893353422784
Illinois,2008,12901564.0,11119141.0,1782423.0,13.815557555657593
Indiana,2008,6376792.0,6120667.0,256125.0,4.0165180234826545
Iowa,2008,3002557.0,2890268.0,112289.0,3.7397791282563495
Kentucky,2008,4269245.0,4149742.0,119503.0,2.7991600388359066
Louisiana,2008,4410796.0,4276092.0,134704.0,3.0539612351149317
Maine,2008,1316456.0,1277078.0,39378.0,2.991212771258591
Maryland,2008,5633597.0,4935988.0,697609.0,12.383012132390727
Massachusetts,2008,6497967.0,5560767.0,937200.0,14.422972600507206
Michigan,2008,10003422.0,9420680.0,582742.0,5.825426539038341
Minnesota,2008,5220393.0,4879736.0,340657.0,6.525504880571252
Mississippi,2008,2938618.0,2878063.0,60555.0,2.060662529120832
Missouri,2008,5911605.0,5696391.0,215214.0,3.6405341696544338
Montana,2008,967440.0,946155.0,21285.0,2.2001364425700816
Nebraska,2008,1783432.0,1685617.0,97815.0,5.484649821243535
Nevada,2008,2600167.0,2109450.0,490717.0,18.872518572845514
New Hampshire,2008,1315809.0,1250228.0,65581.0,4.984082036222583
New Jersey,2008,8682661.0,6964627.0,1718034.0,19.786952410096397
New Mexico,2008,1984356.0,1793331.0,191025.0,9.62654886522378
New York,2008,19490297.0,15253529.0,4236768.0,21.737831906820094
North Carolina,2008,9222414.0,8581284.0,641130.0,6.951867482852103
North Dakota,2008,641481.0,626468.0,15013.0,2.3403654979648656
Ohio,2008,11485910.0,11058870.0,427040.0,3.71794659717863
Oklahoma,2008,3642361.0,3459112.0,183249.0,5.031049915151189
Oregon,2008,3790060.0,3423655.0,366405.0,9.66752505237384
Pennsylvania,2008,12448279.0,11787853.0,660426.0,5.305359881474379
Rhode Island,2008,1050788.0,922335.0,128453.0,12.224444892785225
South Carolina,2008,4479800.0,4284731.0,195069.0,4.354413143443904
South Dakota,2008,804194.0,789300.0,14894.0,1.852040676752127
Tennessee,2008,6214888.0,5966405.0,248483.0,3.9981895088053077
Texas,2008,24326974.0,20439750.0,3887224.0,15.979069160019655
Utah,2008,2736424.0,2509984.0,226440.0,8.27503340125653
Vermont,2008,621270.0,596745.0,24525.0,3.947559032304795
Virginia,2008,7769089.0,6973377.0,795712.0,10.242024515358237
Washington,2008,6549224.0,5744860.0,804364.0,12.281821479918841
West Virginia,2008,1814468.0,1791195.0,23273.0,1.2826349100673036
Wisconsin,2008,5627968.0,5380319.0,247649.0,4.400327080750992
Wyoming,2008,532668.0,520296.0,12372.0,2.322647502759693
Alabama,2009,4708708.0,4561709.0,146999.0,3.1218542326260197
Alaska,2009,698473.0,649624.0,48849.0,6.993684795260519
Arizona,2009,6595778.0,5670402.0,925376.0,14.029823320311872
Arkansas,2009,2889450.0,2769219.0,120231.0,4.161034106836941
California,2009,36961664.0,27014906.0,9946758.0,26.91101244792442
Colorado,2009,5024748.0,4538133.0,486615.0,9.684366260755763
Connecticut,2009,3518288.0,3058773.0,459515.0,13.060755685719874
Delaware,2009,885122.0,811089.0,74033.0,8.364157709332725
District of Columbia,2009,599657.0,527547.0,72110.0,12.025207743760182
Florida,2009,18537969.0,15053828.0,3484141.0,18.794620920986542
Georgia,2009,9829211.0,8908830.0,920381.0,9.363732246667611
Hawaii,2009,1295178.0,1070951.0,224227.0,17.312446628957563
Idaho,2009,1545801.0,1448159.0,97642.0,6.316595732568422
Kansas,2009,2818747.0,2647495.0,171252.0,6.07546544617165
Illinois,2009,12910409.0,11169646.0,1740763.0,13.483407070992095
Indiana,2009,6423113.0,6141786.0,281327.0,4.379916716395928
Iowa,2009,3007857.0,2891696.0,116161.0,3.8619189675573007
Kentucky,2009,4314113.0,4186140.0,127973.0,2.9663803428422018
Louisiana,2009,4492076.0,4340074.0,152002.0,3.3837806840311693
Maine,2009,1318301.0,1274343.0,43958.0,3.334443347915234
Maryland,2009,5699478.0,4969078.0,730400.0,12.81520869104153
Massachusetts,2009,6593587.0,5650252.0,943335.0,14.30685604057397
Michigan,2009,9969727.0,9355616.0,614111.0,6.159757433678976
Minnesota,2009,5266215.0,4908654.0,357561.0,6.789715193929606
Mississippi,2009,2951996.0,2892458.0,59538.0,2.016872651588959
Missouri,2009,5987580.0,5774680.0,212900.0,3.555693619124922
Montana,2009,974989.0,955680.0,19309.0,1.9804325997524075
Nebraska,2009,1796622.0,1690436.0,106186.0,5.91031391132915
Nevada,2009,2643085.0,2136580.0,506505.0,19.163401858056023
New Hampshire,2009,1324575.0,1256113.0,68462.0,5.168601249457374
New Jersey,2009,8707740.0,6948273.0,1759467.0,20.205782441827616
New Mexico,2009,2009671.0,1813665.0,196006.0,9.753138697826659
New York,2009,19541453.0,15363283.0,4178170.0,21.38106107053554
North Carolina,2009,9380884.0,8715614.0,665270.0,7.091762354166196
North Dakota,2009,646844.0,631391.0,15453.0,2.3889840517961054
