Name,Year,Total,Native,Foreign-born,Percent Foreign-born
"Nashville-Davidson metropolitan government (balance), Tennessee",2011,609637.0,535320.0,74317.0,12.190369022877547
"Knoxville city, Tennessee",2012,182196.0,173790.0,8406.0,4.6137127049990125
"Franklin city, Tennessee",2012,66278.0,60688.0,5590.0,8.434171218202119
"Nashville-Davidson metropolitan government (balance), Tennessee",2012,623255.0,550065.0,73190.0,11.743186978042695
"Murfreesboro city, Tennessee",2012,114044.0,107875.0,6169.0,5.409315702711234
"Clarksville city, Tennessee",2012,142517.0,135171.0,7346.0,5.154472799736172
"Memphis city, Tennessee",2012,655141.0,617016.0,38125.0,5.819357970268996
"Jackson city, Tennessee",2012,67263.0,65795.0,1468.0,2.182477736645704
"Chattanooga city, Tennessee",2012,171282.0,161641.0,9641.0,5.628729230158452
"Knoxville city, Tennessee",2013,183261.0,170896.0,12365.0,6.747207534609109
"Franklin city, Tennessee",2013,68872.0,63948.0,4924.0,7.149494714833314
"Nashville-Davidson metropolitan government (balance), Tennessee",2013,634465.0,556991.0,77474.0,12.210917859929232
"Johnson City city, Tennessee",2013,65796.0,62854.0,2942.0,4.471396437473403
"Memphis city, Tennessee",2013,653450.0,612710.0,40740.0,6.234600964113551
"Jackson city, Tennessee",2013,67685.0,66199.0,1486.0,2.1954642830760136
"Murfreesboro city, Tennessee",2013,117039.0,107991.0,9048.0,7.73075641452849
"Clarksville city, Tennessee",2013,142355.0,134299.0,8056.0,5.65909170735134
"Chattanooga city, Tennessee",2013,173375.0,165802.0,7573.0,4.3679884643114635
"Knoxville city, Tennessee",2014,184292.0,170854.0,13438.0,7.291689275714627
"Murfreesboro city, Tennessee",2014,120960.0,111571.0,9389.0,7.762070105820105
"Clarksville city, Tennessee",2014,146814.0,137537.0,9277.0,6.318879670876075
"Chattanooga city, Tennessee",2014,173778.0,163734.0,10044.0,5.779788005386182
"Franklin city, Tennessee",2014,70613.0,64926.0,5687.0,8.053757806636172
"Nashville-Davidson metropolitan government (balance), Tennessee",2014,644008.0,559196.0,84812.0,13.169401622340096
"Johnson City city, Tennessee",2014,65820.0,61564.0,4256.0,6.466119720449711
"Memphis city, Tennessee",2014,656876.0,616552.0,40324.0,6.13875373738727
"Jackson city, Tennessee",2014,67308.0,64881.0,2427.0,3.6058120877161706
"Memphis city, Tennessee",2015,655760.0,612442.0,43318.0,6.60577040380627
"Jackson city, Tennessee",2015,66980.0,64883.0,2097.0,3.130785309047477
"Knoxville city, Tennessee",2015,185312.0,175027.0,10285.0,5.550099292004835
"Franklin city, Tennessee",2015,72635.0,65759.0,6876.0,9.466510635368625
"Johnson City city, Tennessee",2015,65369.0,62491.0,2878.0,4.402698526824642
"Nashville-Davidson metropolitan government (balance), Tennessee",2015,654596.0,566403.0,88193.0,13.472890149038491
"Murfreesboro city, Tennessee",2015,126121.0,117173.0,8948.0,7.094774066174548
"Clarksville city, Tennessee",2015,149190.0,140979.0,8211.0,5.50372008847778
"Chattanooga city, Tennessee",2015,176597.0,165998.0,10599.0,6.001800710091338
"Memphis city, Tennessee",2016,652752.0,614492.0,38260.0,5.861337843468883
"Jackson city, Tennessee",2016,67006.0,65133.0,1873.0,2.795272065188192
"Knoxville city, Tennessee",2016,186238.0,176141.0,10097.0,5.421557362085074
"Franklin city, Tennessee",2016,74788.0,64721.0,10067.0,13.460715622827191
"Johnson City city, Tennessee",2016,66976.0,63261.0,3715.0,5.546763019589107
"Murfreesboro city, Tennessee",2016,131939.0,122562.0,9377.0,7.107072207611092
"Clarksville city, Tennessee",2016,150280.0,142469.0,7811.0,5.197631088634549
"Chattanooga city, Tennessee",2016,177582.0,166787.0,10795.0,6.078881868657859
"Nashville-Davidson metropolitan government (balance), Tennessee",2016,660393.0,577888.0,82505.0,12.493318372544833
"Knoxville city, Tennessee",2017,187344.0,174847.0,12497.0,6.670616619694253
"Franklin city, Tennessee",2017,78311.0,69150.0,9161.0,11.69822885673788
"Memphis city, Tennessee",2017,652231.0,608230.0,44001.0,6.74622948004618
"Jackson city, Tennessee",2017,66856.0,64751.0,2105.0,3.1485580950101713
"Murfreesboro city, Tennessee",2017,136372.0,125910.0,10462.0,7.671662804681313
"Clarksville city, Tennessee",2017,153210.0,145397.0,7813.0,5.099536583773905
"Chattanooga city, Tennessee",2017,179130.0,166344.0,12786.0,7.137832858817618
"Johnson City city, Tennessee",2017,65816.0,61706.0,4110.0,6.244682144159475
"Nashville-Davidson metropolitan government (balance), Tennessee",2017,665967.0,579696.0,86271.0,12.954245480631924
"Memphis city, Tennessee",2018,650632.0,612380.0,38252.0,5.879206679044375
"Jackson city, Tennessee",2018,66900.0,64207.0,2693.0,4.0254110612855
"Knoxville city, Tennessee",2018,187514.0,176147.0,11367.0,6.06194737459603
"Nashville-Davidson metropolitan government (balance), Tennessee",2018,665498.0,570458.0,95040.0,14.281034653748021
"Franklin city, Tennessee",2018,80920.0,71134.0,9786.0,12.093425605536332
"Johnson City city, Tennessee",2018,68245.0,62081.0,6164.0,9.032163528463624
"Murfreesboro city, Tennessee",2018,141336.0,133120.0,8216.0,5.813097866077999
"Clarksville city, Tennessee",2018,156800.0,149755.0,7045.0,4.492984693877551
"Chattanooga city, Tennessee",2018,180551.0,169416.0,11135.0,6.167232527097607
"Nashville-Davidson metropolitan government (balance), Tennessee",2019,668580.0,575948.0,92632.0,13.855036046546413
"Franklin city, Tennessee",2019,83096.0,72180.0,10916.0,13.13661307403485
"Johnson City city, Tennessee",2019,67859.0,64412.0,3447.0,5.079650451671848
"Memphis city, Tennessee",2019,651088.0,611583.0,39505.0,6.0675361855847445
"Murfreesboro city, Tennessee",2019,146912.0,135162.0,11750.0,7.99798518841211
